Table 1.1 Resident Population - States: 2018 to 2021
Geography,2018,2019,2020,2021
US,"327,167,439","328,239,523","329,504,815","331,893,745"
AL,"4,887,871","4,903,185","4,922,663","5,039,877"
AK,"737,438","731,545","725,368","732,673"
AZ,"7,171,646","7,278,717","7,439,168","7,276,316"
AR,"3,013,825","3,017,804","3,020,858","3,025,891"
CA,"39,557,045","39,512,223","39,273,649","39,237,836"
CO,"5,695,564","5,758,736","5,801,720","5,812,069"
CT,"3,572,665","3,565,287","3,561,894","3,605,597"
DE,"967,171","973,764","986,302","1,003,384"
DC,"702,455","705,749","708,536","670,050"
FL,"21,299,325","21,477,737","21,777,656","21,781,128"
GA,"10,519,475","10,617,423","10,735,354","10,799,566"
HI,"1,420,491","1,415,872","1,408,226","1,441,553"
ID,"1,754,208","1,787,065","1,845,631","1,900,923"
IL,"12,741,080","12,671,821","12,559,183","12,671,469"
IN,"6,691,878","6,732,219","6,755,447","6,805,985"
IA,"3,156,145","3,155,070","3,167,157","3,193,079"
KS,"2,911,510","2,913,314","2,917,100","2,934,582"
KY,"4,468,402","4,467,673","4,477,027","4,509,394"
LA,"4,659,978","4,648,794","4,636,548","4,624,047"
ME,"1,338,404","1,344,212","1,333,280","1,372,247"
MD,"6,042,718","6,045,680","6,039,168","6,165,129"
MA,"6,902,197","6,892,503","6,893,349","6,984,723"
MI,"9,995,915","9,986,857","10,005,488","10,050,811"
MN,"5,611,179","5,639,632","5,637,415","5,707,390"
MS,"2,986,530","2,976,149","2,949,108","2,949,965"
MO,"6,126,452","6,137,428","6,160,572","6,168,187"
MT,"1,062,305","1,068,778","1,070,633","1,104,271"
NE,"1,929,268","1,934,408","1,910,229","1,963,692"
NV,"3,034,392","3,080,156","3,159,862","3,143,991"
NH,"1,356,410","1,359,711","1,369,826","1,388,992"
NJ,"8,908,520","8,882,190","8,866,369","9,267,130"
NM,"2,095,428","2,096,829","2,103,947","2,115,877"
NY,"19,542,209","19,453,561","19,342,277","19,835,913"
NC,"10,383,620","10,488,084","10,634,814","10,551,162"
ND,"760,077","762,062","762,179","774,948"
OH,"11,689,442","11,689,100","11,696,589","11,780,017"
OK,"3,943,079","3,956,971","4,004,290","3,986,639"
OR,"4,190,713","4,217,737","4,235,391","4,246,155"
PA,"12,807,060","12,801,989","12,808,018","12,964,056"
RI,"1,057,315","1,059,361","1,064,254","1,095,610"
SC,"5,084,127","5,148,714","5,215,144","5,190,705"
SD,"882,235","884,659","904,399","895,376"
TN,"6,770,010","6,829,174","6,909,363","6,975,218"
TX,"28,701,845","28,995,881","29,354,409","29,527,941"
UT,"3,161,105","3,205,958","3,264,928","3,337,975"
VT,"626,299","623,989","624,318","645,570"
VA,"8,517,685","8,535,519","8,565,201","8,642,274"
WA,"7,535,591","7,614,893","7,697,393","7,738,692"
WV,"1,805,832","1,792,147","1,790,562","1,782,959"
WI,"5,813,568","5,822,434","5,838,186","5,895,908"
WY,"577,737","578,759","574,367","578,803"

Table 1.2 State Resident Population - Projections: 2015 to 2030
State,2015,2020,2025,2030
US,"322,365,787","335,804,546","349,439,199","363,584,435"
AL,"4,663,111","4,728,915","4,800,092","4,874,243"
AK,"732,544","774,421","820,881","867,674"
AZ,"7,495,238","8,456,448","9,531,537","10,712,397"
AR,"2,968,913","3,060,219","3,151,005","3,240,208"
CA,"40,123,232","42,206,743","44,305,177","46,444,861"
CO,"5,049,493","5,278,867","5,522,803","5,792,357"
CT,"3,635,414","3,675,650","3,691,016","3,688,630"
DE,"927,400","963,209","990,694","1,012,658"
DC,"506,323","480,540","455,108","433,414"
FL,"21,204,132","23,406,525","25,912,458","28,685,769"
GA,"10,230,578","10,843,753","11,438,622","12,017,838"
HI,"1,385,952","1,412,373","1,438,720","1,466,046"
ID,"1,630,045","1,741,333","1,852,627","1,969,624"
IL,"13,097,218","13,236,720","13,340,507","13,432,892"
IN,"6,517,631","6,627,008","6,721,322","6,810,108"
IA,"3,026,380","3,020,496","2,993,222","2,955,172"
KS,"2,852,690","2,890,566","2,919,002","2,940,084"
KY,"4,351,188","4,424,431","4,489,662","4,554,998"
LA,"4,673,721","4,719,160","4,762,398","4,802,633"
ME,"1,388,878","1,408,665","1,414,402","1,411,097"
MD,"6,208,392","6,497,626","6,762,732","7,022,251"
MA,"6,758,580","6,855,546","6,938,636","7,012,009"
MI,"10,599,122","10,695,993","10,713,730","10,694,172"
MN,"5,668,211","5,900,769","6,108,787","6,306,130"
MS,"3,014,409","3,044,812","3,069,420","3,092,410"
MO,"6,069,556","6,199,882","6,315,366","6,430,173"
MT,"999,489","1,022,735","1,037,387","1,044,898"
NE,"1,788,508","1,802,678","1,812,787","1,820,247"
NV,"3,058,190","3,452,283","3,863,298","4,282,102"
NH,"1,456,679","1,524,751","1,586,348","1,646,471"
NJ,"9,255,769","9,461,635","9,636,644","9,802,440"
NM,"2,041,539","2,084,341","2,106,584","2,099,708"
NY,"19,546,699","19,576,920","19,540,179","19,477,429"
NC,"10,010,770","10,709,289","11,449,153","12,227,739"
ND,"635,133","630,112","620,777","606,566"
OH,"11,635,446","11,644,058","11,605,738","11,550,528"
OK,"3,661,694","3,735,690","3,820,994","3,913,251"
OR,"4,012,924","4,260,393","4,536,418","4,833,918"
PA,"12,710,938","12,787,354","12,801,945","12,768,184"
RI,"1,139,543","1,154,230","1,157,855","1,152,941"
SC,"4,642,137","4,822,577","4,989,550","5,148,569"
SD,"796,954","801,939","801,845","800,462"
TN,"6,502,017","6,780,670","7,073,125","7,380,634"
TX,"26,585,801","28,634,896","30,865,134","33,317,744"
UT,"2,783,040","2,990,094","3,225,680","3,485,367"
VT,"673,169","690,686","703,288","711,867"
VA,"8,466,864","8,917,395","9,364,304","9,825,019"
WA,"6,950,610","7,432,136","7,996,400","8,624,801"
WV,"1,822,758","1,801,112","1,766,435","1,719,959"
WI,"5,882,760","6,004,954","6,088,374","6,150,764"
WY,"528,005","530,948","529,031","522,979"

Table 1.3 Civilians Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: %","No Disability: Count","No Disability: %"
US,326942778,42601999,13.0,284340779,87.0
AL,4956828,805849,16.3,4150979,83.7
AK,703612,99194,14.1,604418,85.9
AZ,7175530,970430,13.5,6205100,86.5
AR,2975548,517723,17.4,2457825,82.6
CA,38725651,4342499,11.2,34383152,88.8
CO,5715351,643030,11.3,5072321,88.7
CT,3558663,427144,12.0,3131519,88.0
DE,987806,129543,13.1,858263,86.9
DC,659722,77882,11.8,581840,88.2
FL,21466906,2911135,13.6,18555771,86.4
GA,10602297,1373134,13.0,9229163,87.0
HI,1382959,168163,12.2,1214796,87.8
ID,1879742,263115,14.0,1616627,86.0
IL,12496616,1491750,11.9,11004866,88.1
IN,6708961,919332,13.7,5789629,86.3
IA,3149081,397179,12.6,2751902,87.4
KS,2880194,386050,13.4,2494144,86.6
KY,4428085,783699,17.7,3644386,82.3
LA,4518879,724218,16.0,3794661,84.0
ME,1358182,210432,15.5,1147750,84.5
MD,6060990,687347,11.3,5373643,88.7
MA,6915688,808474,11.7,6107214,88.3
MI,9951051,1394304,14.0,8556747,86.0
MN,5652521,679462,12.0,4973059,88.0
MS,2885638,522842,18.1,2362796,81.9
MO,6062846,883553,14.6,5179293,85.4
MT,1087247,158746,14.6,928501,85.4
NE,1935685,249584,12.9,1686101,87.1
NV,3104854,402166,13.0,2702688,87.0
NH,1373423,166037,12.1,1207386,87.9
NJ,9163354,962714,10.5,8200640,89.5
NM,2077492,336557,16.2,1740935,83.8
NY,19599249,2359842,12.0,17239407,88.0
NC,10346220,1413633,13.7,8932587,86.3
ND,754481,92470,12.3,662011,87.7
OH,11613352,1659146,14.3,9954206,85.7
OK,3903265,675799,17.3,3227466,82.7
OR,4206193,637679,15.2,3568514,84.8
PA,12767247,1764274,13.8,11002973,86.2
RI,1080868,150612,13.9,930256,86.1
SC,5107451,730813,14.3,4376638,85.7
SD,877125,111536,12.7,765589,87.3
TN,6874621,1030224,15.0,5844397,85.0
TX,29072523,3518171,12.1,25554352,87.9
UT,3309480,345490,10.4,2963990,89.6
VT,638559,85969,13.5,552590,86.5
VA,8415775,1040435,12.4,7375340,87.6
WA,7620111,996933,13.1,6623178,86.9
WV,1755575,328527,18.7,1427048,81.3
WI,5829031,690024,11.8,5139007,88.2
WY,570250,77135,13.5,493115,86.5

Table 1.4 Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: % Total","Hearing: % Disability"
US,326942778,42601999,11632358,3.6,27.3
AL,4956828,805849,207189,4.2,25.7
AK,703612,99194,33375,4.7,33.6
AZ,7175530,970430,298498,4.2,30.8
AR,2975548,517723,142320,4.8,27.5
CA,38725651,4342499,1140178,2.9,26.3
CO,5715351,643030,213309,3.7,33.2
CT,3558663,427144,112461,3.2,26.3
DE,987806,129543,37741,3.8,29.1
DC,659722,77882,13979,2.1,17.9
FL,21466906,2911135,810461,3.8,27.8
GA,10602297,1373134,346313,3.3,25.2
HI,1382959,168163,50879,3.7,30.3
ID,1879742,263115,90163,4.8,34.3
IL,12496616,1491750,383922,3.1,25.7
IN,6708961,919332,257714,3.8,28.0
IA,3149081,397179,124015,3.9,31.2
KS,2880194,386050,118671,4.1,30.7
KY,4428085,783699,214491,4.8,27.4
LA,4518879,724218,192346,4.3,26.6
ME,1358182,210432,63516,4.7,30.2
MD,6060990,687347,167484,2.8,24.4
MA,6915688,808474,210822,3.0,26.1
MI,9951051,1394304,366589,3.7,26.3
MN,5652521,679462,194595,3.4,28.6
MS,2885638,522842,125051,4.3,23.9
MO,6062846,883553,246560,4.1,27.9
MT,1087247,158746,56619,5.2,35.7
NE,1935685,249584,76336,3.9,30.6
NV,3104854,402166,116057,3.7,28.9
NH,1373423,166037,50257,3.7,30.3
NJ,9163354,962714,238066,2.6,24.7
NM,2077492,336557,104951,5.1,31.2
NY,19599249,2359842,552138,2.8,23.4
NC,10346220,1413633,388826,3.8,27.5
ND,754481,92470,32689,4.3,35.4
OH,11613352,1659146,439895,3.8,26.5
OK,3903265,675799,202444,5.2,30.0
OR,4206193,637679,186034,4.4,29.2
PA,12767247,1764274,464568,3.6,26.3
RI,1080868,150612,34735,3.2,23.1
SC,5107451,730813,186477,3.7,25.5
