Table 1.10 Civilians Ages Under 5 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
US,18581718,126829,0.7,18454889,99.3
AL,288139,1720,0.6,286419,99.4
AK,42080,54,0.1,42026,99.9
AZ,402303,5043,1.3,397260,98.7
AR,178462,3725,2.1,174737,97.9
CA,2205235,12908,0.6,2192327,99.4
CO,303354,1822,0.6,301532,99.4
CT,175998,649,0.4,175349,99.6
DE,52332,296,0.6,52036,99.4
DC,40613,175,0.4,40438,99.6
FL,1089663,5747,0.5,1083916,99.5
GA,623917,4348,0.7,619569,99.3
HI,81278,380,0.5,80898,99.5
ID,113002,722,0.6,112280,99.4
IL,699597,3516,0.5,696081,99.5
IN,405012,1269,0.3,403743,99.7
IA,186397,2195,1.2,184202,98.8
KS,176876,1257,0.7,175619,99.3
KY,260130,2619,1.0,257511,99.0
LA,281838,1160,0.4,280678,99.6
ME,60080,45,0.1,60035,99.9
MD,348364,1862,0.5,346502,99.5
MA,347915,2455,0.7,345460,99.3
MI,547056,3914,0.7,543142,99.3
MN,327515,2308,0.7,325207,99.3
MS,173503,816,0.5,172687,99.5
MO,349339,3446,1.0,345893,99.0
MT,56147,87,0.2,56060,99.8
NE,121543,1091,0.9,120452,99.1
NV,175881,2344,1.3,173537,98.7
NH,61559,629,1.0,60930,99.0
NJ,513212,2256,0.4,510956,99.6
NM,114698,911,0.8,113787,99.2
NY,1088610,7491,0.7,1081119,99.3
NC,578083,5688,1.0,572395,99.0
ND,50589,705,1.4,49884,98.6
OH,668327,3573,0.5,664754,99.5
OK,236766,2347,1.0,234419,99.0
OR,205686,659,0.3,205027,99.7
PA,681227,2785,0.4,678442,99.6
RI,53287,487,0.9,52800,99.1
SC,274864,3082,1.1,271782,98.9
SD,55917,675,1.2,55242,98.8
TN,395654,2821,0.7,392833,99.3
TX,1885672,13637,0.7,1872035,99.3
UT,233401,2736,1.2,230665,98.8
VT,27009,198,0.7,26811,99.3
VA,478808,2658,0.6,476150,99.4
WA,430818,2126,0.5,428692,99.5
WV,88479,671,0.8,87808,99.2
WI,314453,1796,0.6,312657,99.4
WY,31030,925,3.0,30105,97.0

Table 1.11 Civilians Ages 5 to 17 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
US,54699705,3286897,6.0,51412808,94.0
AL,828863,48618,5.9,780245,94.1
AK,137454,9277,6.7,128177,93.3
AZ,1209334,79148,6.5,1130186,93.5
AR,523043,44085,8.4,478958,91.6
CA,6542461,320951,4.9,6221510,95.1
CO,936515,45160,4.8,891355,95.2
CT,548906,32433,5.9,516473,94.1
DE,156006,11644,7.5,144362,92.5
DC,84945,4219,5.0,80726,95.0
FL,3189500,196340,6.2,2993160,93.8
GA,1895765,117778,6.2,1777987,93.8
HI,223072,8810,3.9,214262,96.1
ID,354395,21732,6.1,332663,93.9
IL,2093224,110256,5.3,1982968,94.7
IN,1178604,76293,6.5,1102311,93.5
IA,545142,28842,5.3,516300,94.7
KS,522424,30653,5.9,491771,94.1
KY,750106,59673,8.0,690433,92.0
LA,795160,57112,7.2,738048,92.8
ME,186869,11830,6.3,175039,93.7
MD,1010506,56937,5.6,953569,94.4
MA,1011759,59794,5.9,951965,94.1
MI,1595775,98493,6.2,1497282,93.8
MN,975835,58515,6.0,917320,94.0
MS,515882,43526,8.4,472356,91.6
MO,1027688,60381,5.9,967307,94.1
MT,177584,11187,6.3,166397,93.7
NE,358512,23577,6.6,334935,93.4
NV,520481,24749,4.8,495732,95.2
NH,194641,10830,5.6,183811,94.4
NJ,1503125,67703,4.5,1435422,95.5
NM,356854,22061,6.2,334793,93.8
NY,3004480,162754,5.4,2841726,94.6
NC,1718757,101580,5.9,1617177,94.1
ND,130287,7971,6.1,122316,93.9
OH,1928771,140458,7.3,1788313,92.7
OK,717529,57017,7.9,660512,92.1
OR,649930,45033,6.9,604897,93.1
PA,1984207,152828,7.7,1831379,92.3
RI,154906,12795,8.3,142111,91.7
SC,837548,49407,5.9,788141,94.1
SD,161911,6670,4.1,155241,95.9
TN,1136830,75925,6.7,1060905,93.3
TX,5561641,347998,6.3,5213643,93.7
UT,708045,34221,4.8,673824,95.2
VT,89553,4868,5.4,84685,94.6
VA,1399025,88649,6.3,1310376,93.7
WA,1240960,72468,5.8,1168492,94.2
WV,270235,19861,7.3,250374,92.7
WI,955174,48950,5.1,906224,94.9
WY,99486,4837,4.9,94649,95.1

Table 1.12 Civilians Ages 18 to 64 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
US,198902405,21375164,10.7,177527241,89.3
AL,2974375,427044,14.4,2547331,85.6
AK,428284,57446,13.4,370838,86.6
AZ,4239636,462266,10.9,3777370,89.1
AR,1762321,270410,15.3,1491911,84.7
CA,24101833,2094680,8.7,22007153,91.3
CO,3608395,334153,9.3,3274242,90.7
CT,2202103,210733,9.6,1991370,90.4
DE,583878,63108,10.8,520770,89.2
DC,450531,45567,10.1,404964,89.9
FL,12650762,1294357,10.2,11356405,89.8
GA,6523882,718796,11.0,5805086,89.0
HI,799955,70655,8.8,729300,91.2
ID,1101447,129963,11.8,971484,88.2
IL,7656211,738699,9.6,6917512,90.4
IN,4040935,475999,11.8,3564936,88.2
IA,1869239,200714,10.7,1668525,89.3
KS,1708944,201587,11.8,1507357,88.2
KY,2667773,425527,16.0,2242246,84.0
LA,2691546,382524,14.2,2309022,85.8
ME,820320,111109,13.5,709211,86.5
MD,3719336,347449,9.3,3371887,90.7
MA,4372338,390447,8.9,3981891,91.1
MI,6019197,717556,11.9,5301641,88.1
MN,3412003,346254,10.1,3065749,89.9
MS,1710146,283513,16.6,1426633,83.4
MO,3633420,455483,12.5,3177937,87.5
MT,640406,75444,11.8,564962,88.2
NE,1142006,127695,11.2,1014311,88.8
NV,1893865,203594,10.8,1690271,89.2
NH,857109,86205,10.1,770904,89.9
NJ,5619012,442236,7.9,5176776,92.1
NM,1219898,172088,14.1,1047810,85.9
NY,12120543,1137516,9.4,10983027,90.6
NC,6283820,721213,11.5,5562607,88.5
ND,455217,47057,10.3,408160,89.7
OH,6974199,844365,12.1,6129834,87.9
OK,2318154,355773,15.3,1962381,84.7
OR,2570404,337722,13.1,2232682,86.9
PA,7710708,862692,11.2,6848016,88.8
RI,680041,79542,11.7,600499,88.3
SC,3043107,371131,12.2,2671976,87.8
SD,508255,54749,10.8,453506,89.2
TN,4177948,536506,12.8,3641442,87.2
TX,17793672,1812286,10.2,15981386,89.8
UT,1984157,194928,9.8,1789229,90.2
VT,392267,44065,11.2,348202,88.8
VA,5154871,525816,10.2,4629055,89.8
WA,4714918,515893,10.9,4199025,89.1
WV,1034208,171095,16.5,863113,83.5
WI,3527273,361742,10.3,3165531,89.7
WY,337537,37772,11.2,299765,88.8

Table 1.13 Civilians Ages 65 Years and Over Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
US,54758950,17813109,32.5,36945841,67.5
AL,865451,328467,38.0,536984,62.0
AK,95794,32417,33.8,63377,66.2
AZ,1324257,423973,32.0,900284,68.0
AR,511722,199503,39.0,312219,61.0
CA,5876122,1913960,32.6,3962162,67.4
CO,867087,261895,30.2,605192,69.8
CT,631656,183329,29.0,448327,71.0
DE,195590,54495,27.9,141095,72.1
DC,83633,27921,33.4,55712,66.6
FL,4536981,1414691,31.2,3122290,68.8
