state,hearing,vision,cognitive,ambulatory,self-care,independent_living,all_under_5,dis_under_5,all_5-17,dis_5-17,all_18-64,dis_18-64,all_65+,dis_65+,all_white,dis_white,all_black,dis_black,all_asian,dis_asian,all_other,dis_other,all_hispanic,dis_hispanic,all_male,dis_male,all_female,dis_female,total_pop
AL,207189,152903,303033,433949,136419,282975,288139,1720,828863,48618,2974375,427044,865451,328467,3184460,527754,1272014,215613,66151,3946,201825,39382,232378,19154,2382659,383399,2574169,422450,4956828
AK,33375,17333,39606,37497,13508,28946,42080,54,137454,9277,428284,57446,95794,32417,406540,58701,18535,5306,49035,2621,181158,26058,48344,6508,361369,51047,342243,48147,703612
AZ,298498,180033,369923,453010,161027,314644,402303,5043,1209334,79148,4239636,462266,1324257,423973,3738446,584770,299825,39337,234881,18745,582730,77431,2319648,250147,3550863,479263,3624667,491167,7175530
AR,142320,106351,206428,259230,94650,181562,178462,3725,523043,44085,1762321,270410,511722,199503,2030104,380009,431135,77866,41775,2647,226505,40367,246029,16834,1458706,255212,1516842,262511,2975548
CA,1140178,851920,1712140,2099892,972305,1748365,2205235,12908,6542461,320951,24101833,2094680,5876122,1913960,13249361,1830108,1981192,323465,5864485,509446,2054331,236227,15576282,1443253,19212447,2079721,19513204,2262778,38725651
CO,213309,122784,254558,261633,94972,203871,303354,1822,936515,45160,3608395,334153,867087,261895,3728603,432073,205822,25940,178302,15310,329234,39475,1273390,130232,2867430,324539,2847921,318491,5715351
CT,112461,78822,166693,197903,80190,157234,175998,649,548906,32433,2202103,210733,631656,183329,2232506,278952,346926,40836,168826,11623,180968,18403,629437,77330,1738212,208287,1820451,218857,3558663
DE,37741,26133,46976,63757,25609,44988,52332,296,156006,11644,583878,63108,195590,54495,587378,85623,202448,24110,40234,1849,57808,7511,99938,10450,474249,64551,513557,64992,987806
DC,13979,13812,30292,41130,13354,23100,40613,175,84945,4219,450531,45567,83633,27921,240556,14954,280018,50930,25861,1539,37115,4657,76172,5802,311238,33726,348484,44156,659722
FL,810461,560304,1076234,1481110,544644,1011720,1089663,5747,3189500,196340,12650762,1294357,4536981,1414691,10990456,1750758,3085079,373256,600212,51315,1013133,118163,5778026,617643,10467743,1418448,10999163,1492687,21466906
GA,346313,278422,546355,674615,245530,478422,623917,4348,1895765,117778,6523882,718796,1558733,532212,5335464,751928,3208153,435632,462355,27119,530754,72802,1065571,85653,5114715,648867,5487582,724267,10602297
HI,50879,26257,66027,83894,33317,67642,81278,380,223072,8810,799955,70655,278654,88318,271635,37447,18898,4268,514109,65306,426906,44427,151411,16715,680559,88977,702400,79186,1382959
ID,90163,51278,106890,109517,44922,80613,113002,722,354395,21732,1101447,129963,310898,110698,1480412,218224,13392,989,26511,2154,109531,18567,249896,23181,938537,135938,941205,127177,1879742
IL,383922,266069,549698,739147,280612,552951,699597,3516,2093224,110256,7656211,738699,2047584,639279,7371871,954757,1645068,248755,714098,53590,506673,65349,2258906,169299,6142850,698827,6353766,792923,12496616
IN,257714,167290,353085,441531,156480,313845,405012,1269,1178604,76293,4040935,475999,1084410,365771,5140106,726949,578746,84002,158429,9591,317023,50547,514657,48243,3309815,442981,3399146,476351,6708961
IA,124015,62009,149823,175521,62640,132829,186397,2195,545142,28842,1869239,200714,548303,165428,2615446,339547,109521,9649,72325,3999,141527,21543,210262,22441,1572805,195754,1576276,201425,3149081
KS,118671,66628,158696,171378,62610,132766,176876,1257,522424,30653,1708944,201587,471950,152553,2111882,298051,137777,24283,86704,4894,174003,25769,369828,33053,1434605,192728,1445589,193322,2880194
