state,hearing,vision,cognitive,ambulatory,self-care,independent_living,under_5,5-17_years,18-64_years,65+_years,white,black,asian,other,hispanic,male,female,total_pop,percent_of_total
AL,4.2,3.1,6.1,8.8,2.8,5.7,0.6,5.9,14.4,38,16.6,17,6,19.5,8.2,16.1,16.4,4956828,16.3
AK,4.7,2.5,5.6,5.3,1.9,4.1,0.1,6.7,13.4,33.8,14.4,28.6,5.3,14.4,13.5,14.1,14.1,703612,14.1
AZ,4.2,2.5,5.2,6.3,2.2,4.4,1.3,6.5,10.9,32,15.6,13.1,8,13.3,10.8,13.5,13.6,7175530,13.5
AR,4.8,3.6,6.9,8.7,3.2,6.1,2.1,8.4,15.3,39,18.7,18.1,6.3,17.8,6.8,17.5,17.3,2975548,17.4
CA,2.9,2.2,4.4,5.4,2.5,4.5,0.6,4.9,8.7,32.6,13.8,16.3,8.7,11.5,9.3,10.8,11.6,38725651,11.2
CO,3.7,2.1,4.5,4.6,1.7,3.6,0.6,4.8,9.3,30.2,11.6,12.6,8.6,12,10.2,11.3,11.2,5715351,11.3
CT,3.2,2.2,4.7,5.6,2.3,4.4,0.4,5.9,9.6,29,12.5,11.8,6.9,10.2,12.3,12,12,3558663,12
DE,3.8,2.6,4.8,6.5,2.6,4.6,0.6,7.5,10.8,27.9,14.6,11.9,4.6,13,10.5,13.6,12.7,987806,13.1
DC,2.1,2.1,4.6,6.2,2,3.5,0.4,5,10.1,33.4,6.2,18.2,6,12.5,7.6,10.8,12.7,659722,11.8
FL,3.8,2.6,5,6.9,2.5,4.7,0.5,6.2,10.2,31.2,15.9,12.1,8.5,11.7,10.7,13.6,13.6,21466906,13.6
GA,3.3,2.6,5.2,6.4,2.3,4.5,0.7,6.2,11,34.1,14.1,13.6,5.9,13.7,8,12.7,13.2,10602297,13
HI,3.7,1.9,4.8,6.1,2.4,4.9,0.5,3.9,8.8,31.7,13.8,22.6,12.7,10.4,11,13.1,11.3,1382959,12.2
ID,4.8,2.7,5.7,5.8,2.4,4.3,0.6,6.1,11.8,35.6,14.7,7.4,8.1,17,9.3,14.5,13.5,1879742,14
IL,3.1,2.1,4.4,5.9,2.2,4.4,0.5,5.3,9.6,31.2,13,15.1,7.5,12.9,7.5,11.4,12.5,12496616,11.9
IN,3.8,2.5,5.3,6.6,2.3,4.7,0.3,6.5,11.8,33.7,14.1,14.5,6.1,15.9,9.4,13.4,14,6708961,13.7
IA,3.9,2,4.8,5.6,2,4.2,1.2,5.3,10.7,30.2,13,8.8,5.5,15.2,10.7,12.4,12.8,3149081,12.6
KS,4.1,2.3,5.5,6,2.2,4.6,0.7,5.9,11.8,32.3,14.1,17.6,5.6,14.8,8.9,13.4,13.4,2880194,13.4
KY,4.8,3.7,7,9.1,3.4,6.5,1,8,16,39.4,18.3,15.5,6,20.6,8.8,17.9,17.5,4428085,17.7
LA,4.3,3.7,6.4,7.9,3.1,5.5,0.4,7.2,14.2,37.8,16.4,16.3,8.7,19.8,9.5,15.9,16.2,4518879,16
ME,4.7,2,6.6,6.8,2.3,5.9,0.1,6.3,13.5,30.1,15.6,15.5,16.6,13.5,15.7,16.2,14.8,1358182,15.5
MD,2.8,2,4.3,5.4,1.9,3.9,0.5,5.6,9.3,28.6,12.1,12.8,6.9,11,7,10.7,12,6060990,11.3
MA,3,2,4.8,5.2,2.2,4.4,0.7,5.9,8.9,30.1,12.3,12.4,6,9.7,12.3,11,12.3,6915688,11.7
MI,3.7,2.2,5.6,6.8,2.5,5.2,0.7,6.2,11.9,32.1,14.1,17,6,14.9,9.5,13.7,14.3,9951051,14
MN,3.4,1.7,5.3,4.6,2.1,4.3,0.7,6,10.1,29.1,12.2,13.1,9.2,12.7,10.3,12.1,11.9,5652521,12
MS,4.3,4.4,7.1,9.6,3.2,6.3,0.5,8.4,16.6,40.1,19.1,17.3,5.4,19.9,11.4,18,18.2,2885638,18.1
MO,4.1,2.7,5.7,7,2.5,4.9,1,5.9,12.5,34.6,15,15.2,6.9,14.7,9.7,14.6,14.5,6062846,14.6
MT,5.2,2.5,5.5,6.4,2.3,4.5,0.2,6.3,11.8,33.8,14.7,16.2,7.5,15.2,12.7,15.6,13.6,1087247,14.6
NE,3.9,2.5,4.8,5.6,1.9,3.8,0.9,6.6,11.2,31,13.7,11.3,6.7,12.1,9.7,12.7,13.1,1935685,12.9
NV,3.7,2.8,4.7,6.5,2.4,4.3,1.3,4.8,10.8,33.3,16.2,12.5,10.4,12.5,9.1,13.2,12.7,3104854,13
NH,3.7,2,4.8,4.9,1.8,4.2,1,5.6,10.1,26.3,12.6,9,5.7,11.4,8.2,12.2,12,1373423,12.1
NJ,2.6,2,3.7,5.2,2.2,4,0.4,4.5,7.9,29.5,11.6,12.7,5.6,9.3,9.2,10,11,9163354,10.5
NM,5.1,3.2,6.3,7.8,3.1,5.9,0.8,6.2,14.1,36.7,18.5,13.8,9.6,15.2,15.1,15.9,16.5,2077492,16.2
NY,2.8,2.1,4.7,6.1,2.6,5,0.7,5.4,9.4,31.1,12.5,13.6,7.7,11.4,11.8,11.3,12.8,19599249,12
NC,3.8,2.6,5.2,6.8,2.5,4.7,1,5.9,11.5,33.1,14.6,14.8,6.4,14.3,7.5,13.6,13.7,10346220,13.7
ND,4.3,2.8,4,5,1.5,3,1.4,6.1,10.3,31,11.9,11.1,8,18,9.2,11.4,13.2,754481,12.3
OH,3.8,2.5,5.8,6.8,2.4,4.8,0.5,7.3,12.1,32.8,14.5,15.2,5.6,15.2,12.4,14,14.6,11613352,14.3
OK,5.2,4,6.5,8.4,2.6,5.6,1,7.9,15.3,41.3,19,17.2,7.4,17.6,10.1,17.1,17.5,3903265,17.3
OR,4.4,2.5,6.6,6.6,2.8,5.5,0.3,6.9,13.1,32.6,16.4,15.5,8.7,15.9,10.3,15.2,15.2,4206193,15.2
PA,3.6,2.5,5.5,6.5,2.3,4.9,0.4,7.7,11.2,31.2,13.6,17.1,8.2,12.8,14.8,13.5,14.1,12767247,13.8
RI,3.2,2.4,5.7,6.1,2.5,5.1,0.9,8.3,11.7,30,14.1,17.1,10.5,15.6,12.6,13.3,14.5,1080868,13.9
SC,3.7,2.9,5.2,7.3,2.7,4.9,1.1,5.9,12.2,32.3,14.6,15.4,10.3,13.9,8.1,14.3,14.3,5107451,14.3
SD,4.2,2.1,4.5,5.7,1.9,3.5,1.2,4.1,10.8,32.7,12.7,15.2,6.4,12.9,14.4,13.1,12.3,877125,12.7
TN,4.3,3.1,5.9,7.6,2.7,5.2,0.7,6.7,12.8,35.6,15.9,13.6,6.2,16.8,7.9,15,15,6874621,15
TX,3.3,2.7,4.6,5.7,2.2,4,0.7,6.3,10.2,35.1,14.1,13.9,6.1,13.9,10.3,12,12.2,29072523,12.1
UT,3.1,1.9,4.7,3.9,1.4,3.3,1.2,4.8,9.8,29.6,11,9.8,8,10.1,8.3,10.1,10.8,3309480,10.4
VT,4.3,2.1,5.4,5.6,2.1,4.8,0.7,5.4,11.2,28.4,13.9,9.5,2.3,15,4.7,14.4,12.6,638559,13.5
VA,3.4,2.4,4.7,5.9,2.4,4.3,0.6,6.3,10.2,30.6,13.2,14.1,6.9,11.8,8.2,12.1,12.6,8415775,12.4
WA,3.9,2.2,5.5,5.7,2.2,4.5,0.5,5.8,10.9,33,14.8,12.8,7.9,12.5,9.1,12.8,13.4,7620111,13.1
WV,5.7,3.4,7.3,9.8,3.9,6.8,0.8,7.3,16.5,37.7,18.9,20.3,5.2,19.2,10.8,18.7,18.7,1755575,18.7
WI,3.6,1.9,4.6,5.1,2.1,4,0.6,5.1,10.3,26.9,12.1,13.9,5.7,13,8.9,11.9,11.8,5829031,11.8
WY,5.1,2.7,4.6,5.7,1.8,4.1,3,4.9,11.2,32.9,13.7,11.1,3.2,13.4,13.1,12.6,14.5,570250,13.5
