state,total_pop,disability_category,age_group,race,gender,disability_count,percent_of_total
US,326942778,All,All,All,All,42601999,13
AL,4956828,All,All,All,All,805849,16.3
AK,703612,All,All,All,All,99194,14.1
AZ,7175530,All,All,All,All,970430,13.5
AR,2975548,All,All,All,All,517723,17.4
CA,38725651,All,All,All,All,4342499,11.2
CO,5715351,All,All,All,All,643030,11.3
CT,3558663,All,All,All,All,427144,12
DE,987806,All,All,All,All,129543,13.1
DC,659722,All,All,All,All,77882,11.8
FL,21466906,All,All,All,All,2911135,13.6
GA,10602297,All,All,All,All,1373134,13
HI,1382959,All,All,All,All,168163,12.2
ID,1879742,All,All,All,All,263115,14
IL,12496616,All,All,All,All,1491750,11.9
IN,6708961,All,All,All,All,919332,13.7
IA,3149081,All,All,All,All,397179,12.6
KS,2880194,All,All,All,All,386050,13.4
KY,4428085,All,All,All,All,783699,17.7
LA,4518879,All,All,All,All,724218,16
ME,1358182,All,All,All,All,210432,15.5
MD,6060990,All,All,All,All,687347,11.3
MA,6915688,All,All,All,All,808474,11.7
MI,9951051,All,All,All,All,1394304,14
MN,5652521,All,All,All,All,679462,12
MS,2885638,All,All,All,All,522842,18.1
MO,6062846,All,All,All,All,883553,14.6
MT,1087247,All,All,All,All,158746,14.6
NE,1935685,All,All,All,All,249584,12.9
NV,3104854,All,All,All,All,402166,13
NH,1373423,All,All,All,All,166037,12.1
NJ,9163354,All,All,All,All,962714,10.5
NM,2077492,All,All,All,All,336557,16.2
NY,19599249,All,All,All,All,2359842,12
NC,10346220,All,All,All,All,1413633,13.7
ND,754481,All,All,All,All,92470,12.3
OH,11613352,All,All,All,All,1659146,14.3
OK,3903265,All,All,All,All,675799,17.3
OR,4206193,All,All,All,All,637679,15.2
PA,12767247,All,All,All,All,1764274,13.8
RI,1080868,All,All,All,All,150612,13.9
SC,5107451,All,All,All,All,730813,14.3
SD,877125,All,All,All,All,111536,12.7
TN,6874621,All,All,All,All,1030224,15
TX,29072523,All,All,All,All,3518171,12.1
UT,3309480,All,All,All,All,345490,10.4
VT,638559,All,All,All,All,85969,13.5
VA,8415775,All,All,All,All,1040435,12.4
WA,7620111,All,All,All,All,996933,13.1
WV,1755575,All,All,All,All,328527,18.7
WI,5829031,All,All,All,All,690024,11.8
WY,570250,All,All,All,All,77135,13.5
AL,4956828,Hearing,All,All,All,207189,4.2
